種別,項目,緯度,経度,画像
避難高台,サンマリンスタジアム宮崎　内野スタンド,31.831341,131.446534,hi_sunmarin
避難高台,青少年自然の家　ぼろいし棟屋上,31.819475,131.449211,hi_youth
避難高台,避難高台,31.824801,131.446609,hi_highground
避難高台,テニスコート付近　避難デッキ,31.820181,131.44581,hi_deck
施設,自転車競技場,31.833424,131.448798,hi_bicycle
施設,補助球技場,31.831407,131.448863,hi_sub
施設,第三球技場,31.830129,131.448766,hi_soccer
施設,ラグビー場,31.828818,131.448594,hi_rugby
施設,投てき場,31.827695,131.448981,hi_throwing
施設,第二陸上競技場,31.82661,131.448745,hi_dai2
施設,水泳場,31.826699,131.447672,hi_swimming
施設,ひなた陸上競技場,31.824361,131.448390,hi_rik
施設,軟式野球場A,31.82218,131.44779,hi_nansiki1
施設,ひなた木の花ドーム,31.820803,131.448852,hi_dome
施設,軟式野球場B,31.820484,131.446974,hi_nansiki2
施設,運動広場,31.819108,131.446974,hi_sports_square
施設,テニスコート,31.821865,131.445043,hi_tennis
施設,ゲートボール場,31.821961,131.444153,hi_gateball
施設,ひなたひむかスタジアム,31.823101,131.446202,hi_himuka
施設,合宿所,31.823939,131.445526,hi_boarding_house
施設,体育館・トレーニング場,31.823538,131.444936,hi_training
施設,屋内プール,31.827775,131.447634,hi_pool
施設,ひなた武道館,31.829520,131.446609,hi_martial
施設,ひなたサンマリンスタジアム宮崎,31.830373,131.445757,hi_sunmarin_miyazaki
施設,屋内練習場,31.831943,131.44809,hi_indoor
AED,自転車競技場,31.833618,131.448031,aed
AED,サンマリンスタジア,31.831451,131.445644,aed
AED,トレーニングルーム,31.828864,131.446046,aed
AED,宮崎県武道館,31.828591,131.446803,aed
AED,屋内プール,31.827538,131.447237,aed
AED,ハイビスカス陸上競技場,31.82458,131.447473,aed
AED,ひむかスタジアム,31.823499,131.446132,aed
AED,テニスコート,31.821166,131.445649,aed
AED,木の花ドーム,31.820359,131.448653,aed
AED,体育館,31.823395,131.444845,aed
AED,運動広場,31.819816,131.446905,aed
AED,サッカー場,31.830402,131.448187,aed
AED,ラグビー場,31.828581,131.447768,aed
AED,合宿所,31.823942,131.445193,aed
AED,受付・案内所,31.827529,131.4439,aed
