種別,項目,緯度,経度,画像
避難高台,サンマリンスタジアム宮崎　内野スタンド,31.831341,131.446534,hi_sunmarin
避難高台,青少年自然の家　ぼろいし棟屋上,31.819475,131.449211,hi_youth
避難高台,避難高台,31.824801,131.446609,hi_highground
避難高台,テニスコート付近　避難デッキ,31.820181,131.44581,hi_deck
施設,自転車競技場,31.833424,131.448798,hi_bicycle
施設,補助球技場,31.831407,131.448863,hi_sub
施設,第三球技場,31.830129,131.448766,hi_soccer
施設,ラグビー場,31.828818,131.448594,hi_rugby
施設,投てき場,31.827695,131.448981,hi_throwing
施設,第二陸上競技場,31.82661,131.448745,hi_dai2
施設,水泳場,31.826699,131.447672,hi_swimming
施設,ひなた陸上競技場,31.824361,131.44839,hi_rik
施設,軟式野球場A,31.82218,131.44779,hi_nansiki1
施設,ひなた木の花ドーム,31.820803,131.448852,hi_dome
施設,軟式野球場B,31.820484,131.446974,hi_nansiki2
施設,運動広場,31.819108,131.446974,hi_sports_square
施設,テニスコート,31.821865,131.445043,hi_tennis
施設,ゲートボール場,31.821961,131.444153,hi_gateball
施設,ひなたひむかスタジアム,31.823101,131.446202,hi_himuka
施設,合宿所,31.823939,131.445526,hi_boarding_house
施設,体育館・トレーニング場,31.823538,131.444936,hi_training
施設,屋内プール,31.827775,131.447634,hi_pool
施設,ひなた武道館,31.82952,131.446609,hi_martial
施設,ひなたサンマリンスタジアム宮崎,31.830373,131.445757,hi_sunmarin_miyazaki
施設,屋内練習場,31.831943,131.44809,hi_indoor
AED,自転車競技場,31.83361111,131.4480556,aed
AED,サンマリンスタジア,31.83138889,131.4458333,aed
AED,トレーニングルーム,31.82888889,131.4469444,aed
AED,宮崎県武道館,31.82861111,131.4469444,aed
AED,屋内プール,31.82722222,131.4475,aed
AED,ハイビスカス陸上競技場,31.82472222,131.4472222,aed
AED,ひむかスタジアム,31.82361111,131.4463889,aed
AED,テニスコート,31.82111111,131.4455556,aed
AED,木の花ドーム,31.82027778,131.4486111,aed
AED,体育館,31.82361111,131.4452778,aed
AED(貸出用),合宿所,31.823942,131.445193,aed
AED(貸出用3台),受付・案内所,31.8275,131.4438889,aed
AED,青島青少年自然の家,31.8197222,131.4494444,aed
