no,page,jap,eng,small
1,tenki,雨雲,Rain clouds,あまぐも
2,tenki,雷,Thunder,かみなり
3,tenki,台風,Typhoon,たいふう
4,tenki,地点登録,Point registration,とうろく
5,tenki,天気,Weather,てんき
6,tenki,地震,Earthquake,じしん
7,tenki,火山,Volcano,かざん
8,tenki,警報,Alert,けいほう
9,kikikuru,土砂災害,,
10,kikikuru,浸水害,,
11,kikikuru,洪水害,,
12,kikikuru,雨雲,,
13,kikikuru,最大想定浸水深さ,,
14,sonae,非常用品,,
15,sonae,大雨時の行動,,
16,sonae,警戒レベル,,
17,sonae,避難所,,
18,sonae,ハザードマップ,,
19,sonae,避難所の保存,,
20,sonae,HzMapの保存,,
20,sonae,浸水深さ,,
21,kikikuru1,雨雲と重ねるキキクルを選んでください,,
22,kikikuru1,雨雲viewの透過度,,
23,kikikuru1,折りたたむ,,
24,kikikuru1,コントローラーの表示,,
25,shinsui,現在地住所,,
26,shinsui,現在地の標高,,
27,shinsui,現在地の最大想定浸水深さ,,
28,mochi,懐中電灯,,
29,mochi,モバイルバッテリー,,
30,mochi,予備の電池,,
31,mochi,ラジオ,,
32,mochi,貴重品,,
33,mochi,衣類・下着,,
34,mochi,保存食,,
35,mochi,ライター,,
36,mochi,防寒グッズ,,
37,mochi,救急用品,,
38,mochi,携帯電話,,
39,mochi,衛生用品,,
40,mochi,筆記用具,,
41,mochi,赤ちゃんに必要なもの,,
42,mochi,犬に必要なもの,,
15,mochi,大きな地震が起きると家具や家電が倒れてきたり、ガラスが割れて床に飛び散ったりします。このような地震が夜にくると部屋が真っ暗で避難するのも大変です。そんなときに懐中電灯があると辺りを照らすことができるので、危ないものを避けて避難することができます。,,
44,mochi,情報収集したり家族の安否を確認したりするためには、スマホは必需品です。しかし、災害時に停電が起こるとスマホの充電ができなくなります。そのために、モバイルバッテリーがあると停電中でも心の余裕を持つことができます。,,
45,mochi,ライトやラジオも電池がないと使うことができません。予備があれば電池の減りなど気にせず使えることができ、安心します。乾電池は液漏れ防止のものを選びましょう。,,
46,mochi,停電時や災害の際、テレビが見れなくなったり、ネットが繋がらなかったり、情報を得たとしてもそれがデマ情報だった場合もあります。スマホと違って消費電力が少なく、被災した地域をメインに情報を伝えることができます。,,
47,mochi,・現金（硬貨）,,
48,mochi,・通帳,,
49,mochi,・身分証明書・各種カード,,
50,mochi,・印鑑,,
51,mochi,・家や車の予備鍵\n停電時にはキャッシュカードが使えない可能性があるので、現金を用意しておきましょう。小銭を多めにしておくと、固定電話やスマホを使えないときに公衆電話を使うときなどに便利です。また、免許証や保険証といった身分証明書があると、被災後のさまざまな届出をする際にスムーズにことが運びます。,,
52,mochi,雨の時に、災害がおこると服が濡れてしまい風邪をひくかもしれません。コンパクトにまとまるダウンジャケット、ダウンパンツなど暖かく軽量のものがおすすめです。できる限り替えの服もいれておくといいです。,,
53,mochi,・缶詰・乾パンn・飲料水n・アルファ米n・チョコレートn自宅が倒壊した場合は避難所での生活を送ることになります。救援物資が届くまで最短でも3日かかると想定しましょう。,,
54,mochi,震災時には、電気ガスが使えない可能性があります。その状況で生き延びるために火を起こすことが重要です。また、食べ物を温めたり、食べられる物を確保して加熱して食べる必要が出てくるかもしれません。,,
55,mochi,・毛布n・カイロn・アルミホイルn冬に災害が起こった場合には、寒さで寝れなかったり風邪をひいたりします。また、お年寄りや赤ちゃん、体が弱い人は、低体温症になる可能性があります。,,
56,mochi,大きな災害が発生するとケガをする可能性が高くなります。災害直後は医療体制も混乱することが考えられるため、応急手当てができるように救急セットを用意しておきましょう。,,
57,mochi,情報を収集したり家族の安否を確認するために必要になります。,,
58,mochi,・ウェットティッシュ・トイレットペーパーn・歯ブラシn・タオルn・マスクn・生理用品n・災害発生時には水の供給がストップして、入浴や歯磨きなどが十分にできなくなるかもしれません。体が不衛生な状態が続くと健康を害しやすいため、衛生用品の準備には万全にしておきましょう。,,
59,mochi,避難所で私物に名前を書いたり、伝言を残したりする時に必要になります。,,
60,mochi,・粉ミルク・離乳食・哺乳瓶・スプーンn・バスタオル・ガーゼ・着替えn・おむつ・お尻ふきn・母子手帳n・おもちゃ,,
61,mochi,・非常食・飲料水n・避難用具（ケージ、クレート、キャリーケース）n・鑑札・迷子札n・タオル、新聞紙,,
62,ooame,大雨の時の自分の行動を整理しましょう,,
63,ooame,「大雨時の行動整理」ボタンを押して、身の回りの災害リスクを明らかにし、大雨時の自分の行動を決めておきましょう。,,
64,ooame,大雨の時のあなたの避難行動,,
65,ooame1,問１　自宅に災害リスクがありますか？,,
66,ooame1,水害のリスク,,
67,ooame1,浸水の深さを入力してください,,
68,ooame1,土砂災害のリスク,,
69,ooame2,問２　自宅を離れた避難（立退き避難）が必要ですか？,,
70,ooame2,条件が一つでも当てはまれば、立退き避難が必要です。,,
71,ooame2,水害のリスク,,
72,ooame2,家屋倒壊等氾濫想定区域である,,
73,ooame2,居室は、浸水の深さより低い,,
74,ooame2,水・食料奈等の備えが十分でない,,
75,ooame2,土砂災害のリスク,,
76,ooame2,十分堅牢なマンションの上階等ではない,,
77,ooame3,問３　立退き避難の避難先はどこですか？,,
78,ooame3,問２で災害リスクがない場合も危険を感じた場合の立退き避難先を考えてください。,,
79,ooame3,A 安全な場所に住んでいて身を寄せられる親戚や知人はいますか？　いたら記入してください。,,
80,ooame3,B 指定緊急避難場所はどこですか？,,
81,ooame4,問４　自分または一緒に避難する方は避難に時間がかかりますか？,,
82,ooame4,※本アプリは移動時間の合計が30分を目安に判定を行います。,,
83,ooame4,誰と,,
84,ooame4,移動手段,,
85,ooame4,準備にかかる時間,,
86,ooame4,移動にかかる時間,,
87,ooame4,移動時間の合計,,
88,ooame5,問５　自宅に、予測が困難な災害リスクがありますか？,,
89,ooame5,自宅に、以下の条件が当てはまりますか?１つでも当てはまれば、予測困難な災害リスク「あり」です。,,
90,ooame5,(１)急激な水位上昇のおそれがある河川が近くにある。,,
91,ooame5,(２)土砂災害のリスクがある。,,
92,hinan,目的の避難場所を選んで、ルートボタンを押してください,,
93,hinan,洪水,,
94,hinan,地震,,
95,hinan,津波,,
96,hinan,避難所,,
97,hinan,もどる,,
98,hinan,現在地,,
99,hinan,検索,,
100,hinan,ルート,,
100,hinan,スクリーンショット,screenshot,
101,hinanSave,インターネットに接続できない状態に備えて、避難所・避難場所や避難所までにルート等を保存するページです。最大４画面保存できます。,,
102,hinanSave,画像をタップすると拡大できます。画像を長押しすると削除できます。,,
103,hinanSave,撮影する,,
104,hinanSave,削除確認,,
105,hinanSave,このデータを削除していいですか？,,
106,hinanSave,データがいっぱいです。,,
107,hinanSave,新しい写真を保存するには、既存の写真を削除してください。,,
108,hinanSave,削除するには、対象の写真を長押ししてください。,,
109,ooame,立退き避難の避難先,,
110,ooame,親戚・知人宅,,
111,ooame,指定緊急避難所,,
112,ooame,移動手段・移動時間,,
113,ooame,誰と,,
114,ooame,移動手段,,
115,ooame,準備時間と移動時間の合計,,
