no,page,jap,eng,small
0,tenki,雨雲,Nowcasts,あまぐも
1,tenki,雷,Thunder,かみなり
2,tenki,台風,Typhoon,たいふう
3,tenki,地点登録,Point registration,とうろく
4,tenki,天気,Weather,てんき
5,tenki,地震,Earthquake,じしん
6,tenki,火山,Volcano,かざん
7,tenki,警報,Alert,けいほう
0,kikikuru,土砂災害,Landslide risk,どしゃさいがい
1,kikikuru,浸水害,Inundation risk,しんすい
2,kikikuru,洪水害,Flood risk,こうずい
3,kikikuru,雨雲,Nowcasts,あまぐも
0,sonae,非常用品,Emergency supplies,ひじょうようひん
1,sonae,大雨時の行動,Behavior during heavy rain,おおあめのときのこうどう
2,sonae,警戒レベル,Vigilance level,けいほうレベル
3,sonae,避難所,Shelter,ひなんするばしょ
4,sonae,ハザードマップ,Hazard map,ハザードマップ
5,sonae,避難所の保存,Saving evacuation sites,ひなんするばしょのかくにん
6,sonae,ハザードマップの保存,Save hazard map,ハザードマップのほぞん
7,sonae,浸水深さ,Inundation depth,しんすいのふかさ
8,sonae,公共施設の防災,Disaster prevention for public facilities,公共施設の防災
0,kikikuru1,雨雲と重ねるキキクルを選んでください,choose the kikikuru map which overlap with clouds map,あまぐもとかさねるききくるをえらんでください
1,kikikuru1,雨雲viewの透過度,transparency of clouds view,
2,kikikuru1,折りたたむ,close,とじる
3,kikikuru1,コントローラーの表示,display controller,ひょうじ
25,shinsui,現在地住所,current address,いまいるばしょのじゅうしょ
26,shinsui,現在地の標高,current elevation,いまいるばしょのたかさ
27,shinsui,現在地の最大想定浸水深さ,estimated inundation depth of current location,
0,mochi,懐中電灯,flashlight,かいちゅうでんとう
1,mochi,モバイルバッテリー,mobile battery,モバイルバッテリー
2,mochi,予備の電池,spare battery,でんち
3,mochi,ラジオ,radio,ラジオ
4,mochi,貴重品,Valuables,きちょうひん
5,mochi,衣類・下着,clothing/underwear,ようふく・したぎ
6,mochi,保存食,preserved food,ほぞんしょく
7,mochi,ライター,lighter,ライター
8,mochi,防寒グッズ,cold weather goods,ぼうかんぐっず
9,mochi,救急用品,first aid supplies,きゅうきゅうようひん
10,mochi,携帯電話,cell phone,けいたいでんわ
11,mochi,衛生用品,hygiene products,えいせいようひん
12,mochi,筆記用具,writing utensil,ひっきようぐ
13,mochi,赤ちゃんに必要なもの,baby needs,あかちゃんにひつようなもの
14,mochi,犬に必要なもの,dog needs,いぬにひつようなもの
15,mochi,大きな地震が起きると家具や家電が倒れてきたり、ガラスが割れて床に飛び散ったりします。このような地震が夜にくると部屋が真っ暗で避難するのも大変です。そんなときに懐中電灯があると辺りを照らすことができるので、危ないものを避けて避難することができます。,When a big earthquake occurs、 furniture and home appliances fall over、 and glass breaks and scatters on the floor. When an earthquake like this comes at night、 it's hard to evacuate because the room is pitch black. then、with a flashlight、 you can illuminate the area、 so you can avoid dangerous things and evacuate.,おおきなじしんがおきるとかぐやかでんがたおれてきたり、がらすがわれてゆかにとびちったりします。このようなじしんがよるにくるとへやがまっくらでひなんするのもたいへんです。そんなときにかいちゅうでんとうがあるとまわりをてらすことができるので、あぶないものをさけてひなんすることができます。
16,mochi,情報収集したり家族の安否を確認したりするためには、スマホは必需品です。しかし、災害時に停電が起こるとスマホの充電ができなくなります。そのために、モバイルバッテリーがあると停電中でも心の余裕を持つことができます。,Smartphones are essential items for collecting information and checking the safety of family members. but if a power outage occurs during a disaster、 you will not be able to charge your smartphone.  so with a mobile battery、 you can have peace of mind even during a power outage.,じょうほうをあつめたりかぞくのあんぜんをかくにんしたりするためには、スマホはひつようなものです。しかし、さいがいのときにていでんがおこるとスマホのじゅうでんができなくなります。そのために、モバイルバッテリーがあるとていでんちゅうでもこころのよゆうをもつことができます。
17,mochi,ライトやラジオも電池がないと使うことができません。予備があれば電池の減りなど気にせず使えることができ、安心します。乾電池は液漏れ防止のものを選びましょう。,Lights and radios cannot be used without batteries. If you have a spare、 you can use it without worrying about the battery running out、 so you can rest assured. Choose batteries that do not leak.,ライトやラジオもでんちがないとつかうことができません。よびがあればでんちのへりなどきにせずつかえることができ、あんしんします。
18,mochi,停電時や災害の際、テレビが見れなくなったり、ネットが繋がらなかったり、情報を得たとしてもそれがデマ情報だった場合もあります。スマホと違って消費電力が少なく、被災した地域をメインに情報を伝えることができます。,In the event of a power outage or disaster、 you may not be able to watch TV or connect to the Internet、 or even if you get information、 it may be false information. Unlike smartphones、 it consumes less power and can mainly receive information about the affected areas.,ていでんのときやさいがいのとき、テレビがみれなくなったり、ネットがつながらなかったり、じょうほうをえたとしてもそれがまちがったじょうほうだったばあいもあります。スマホとちがってつかうでんりょくがすくなく、さいがいのおこったちいきをめいんにじょうほうをつたえることができます。
19,mochi,・現金（硬貨）,cash (coin),おかね
