no,page,jap,eng,small,vmn,chn
0,tenki,雨雲,Nowcasts,あまぐも,Mây mưa,雨云
1,tenki,雷,Thunder,かみなり,Sấm sét,雷电
2,tenki,台風,Typhoon,たいふう,Bão nhiệt đới,台风
3,tenki,地点登録,Point registration,とうろく,Đăng ký địa điểm,地点注册
4,tenki,天気,Weather,てんき,Thời tiết,天气
5,tenki,地震,Earthquake,じしん,Động đất,地震
6,tenki,火山,Volcano,かざん,Núi lửa,火山
7,tenki,警報,Alert,けいほう,Cảnh báo,警报
0,kikikuru,土砂災害,Landslide risk,どしゃさいがい,Thảm họa sạt lở đất,泥石流灾害 / 山体滑坡灾害
1,kikikuru,浸水害,Inundation risk,しんすい,Thiệt hại do ngập lụt,渗水灾害
2,kikikuru,洪水害,Flood risk,こうずい,Thiệt hại do lũ lụt,洪水灾害
3,kikikuru,雨雲,Nowcasts,あまぐも,Mây mưa,雨云
0,sonae,非常用品,Emergency supplies,ひじょうようひん,Đồ dùng khẩn cấp,应急用品
1,sonae,大雨時の行動,Behavior during heavy rain,おおあめのときのこうどう,Hành động khi mưa lớn,大雨时的行动
2,sonae,警戒レベル,Vigilance level,けいほうレベル,Mức độ cảnh báo,警戒级别
3,sonae,避難所,Shelter,ひなんするばしょ,Nơi trú ẩn,避难所
4,sonae,ハザードマップ,Hazard map,ハザードマップ,Bản đồ rủi ro (hazard map),灾害风险地图
5,sonae,避難所の保存,Saving evacuation sites,ひなんするばしょのかくにん,Lưu trữ thông tin nơi trú ẩn,保存避难所
6,sonae,ハザードマップの保存,Save hazard map,ハザードマップのほぞん,Lưu trữ bản đồ rủi ro,保存灾害风险地图
7,sonae,浸水深さ,Inundation depth,しんすいのふかさ,Độ sâu ngập nước,积水深度
8,sonae,公共施設の防災,Disaster prevention for public facilities,こうきょうしせつのぼうさい,Phòng chống thiên tai cho cơ sở công cộng,公共设施的防灾
9,sonae,通知設定,Notification Settings,つうちせってい,Cài đặt thông báo,通知设置
0,kikikuru1,雨雲と重ねるキキクルを選んでください,choose the kikikuru map which overlap with clouds map,あまぐもとかさねるききくるをえらんでください,Hãy chọn Kiki Kuru để chồng lên mây mưa,请选择与雨云重叠的**キキクル（危险度分布）**
1,kikikuru1,雨雲viewの透過度,transparency of clouds view,あまぐもビューのとうめいど,Độ trong suốt của chế độ xem mây mưa,雨云视图的透明度
2,kikikuru1,折りたたむ,close,とじる,Thu gọn lại,折叠
3,kikikuru1,コントローラーの表示,display controller,ひょうじ,Hiển thị bộ điều khiển,控制器的显示
25,shinsui,現在地住所,current address,いまいるばしょのじゅうしょ,Địa chỉ vị trí hiện tại,当前地址
26,shinsui,現在地の標高,current elevation,いまいるばしょのたかさ,Độ cao so với mực nước biển tại vị trí hiện tại,当前海拔
27,shinsui,現在地の最大想定浸水深さ,estimated inundation depth of current location,,Độ sâu ngập nước tối đa dự kiến tại vị trí hiện tại,当前地点的最大预想积水深度
0,mochi,懐中電灯,flashlight,かいちゅうでんとう,Đèn pin,手电筒
1,mochi,モバイルバッテリー,mobile battery,モバイルバッテリー,Pin sạc dự phòng,移动电源
2,mochi,予備の電池,spare battery,でんち,Pin dự phòng,备用电池
3,mochi,ラジオ,radio,ラジオ,Đài radio,收音机
4,mochi,貴重品,Valuables,きちょうひん,Đồ quý giá,贵重物品
5,mochi,衣類・下着,clothing/underwear,ようふく・したぎ,Quần áo và đồ lót,衣物・内衣
6,mochi,保存食,preserved food,ほぞんしょく,Thực phẩm dự trữ,储备食品
7,mochi,ライター,lighter,ライター,Bật lửa,打火机
8,mochi,防寒グッズ,cold weather goods,ぼうかんぐっず,Đồ giữ ấm,保暖用品
9,mochi,救急用品,first aid supplies,きゅうきゅうようひん,Đồ sơ cứu,急救用品
10,mochi,携帯電話,cell phone,けいたいでんわ,Điện thoại di động,手机
11,mochi,衛生用品,hygiene products,えいせいようひん,Đồ dùng vệ sinh,卫生用品
12,mochi,筆記用具,writing utensil,ひっきようぐ,Dụng cụ viết,书写工具
13,mochi,赤ちゃんに必要なもの,baby needs,あかちゃんにひつようなもの,Đồ dùng cần thiết cho em bé,婴儿必需品
14,mochi,犬に必要なもの,dog needs,いぬにひつようなもの,Đồ dùng cần thiết cho chó,狗狗必需品
15,mochi,大きな地震が起きると家具や家電が倒れてきたり、ガラスが割れて床に飛び散ったりします。このような地震が夜にくると部屋が真っ暗で避難するのも大変です。そんなときに懐中電灯があると辺りを照らすことができるので、危ないものを避けて避難することができます。,When a big earthquake occurs、 furniture and home appliances fall over、 and glass breaks and scatters on the floor. When an earthquake like this comes at night、 it's hard to evacuate because the room is pitch black. then、with a flashlight、 you can illuminate the area、 so you can avoid dangerous things and evacuate.,おおきなじしんがおきるとかぐやかでんがたおれてきたり、がらすがわれてゆかにとびちったりします。このようなじしんがよるにくるとへやがまっくらでひなんするのもたいへんです。そんなときにかいちゅうでんとうがあるとまわりをてらすことができるので、あぶないものをさけてひなんすることができます。,Khi xảy ra động đất lớn、 đồ nội thất và đồ điện tử có thể bị đổ、 hoặc kính có thể vỡ và văng tung tóe trên sàn. Nếu trận động đất như vậy xảy ra vào ban đêm、 căn phòng sẽ trở nên tối đen và việc sơ tán sẽ rất khó khăn. Trong những trường hợp như vậy、 nếu có đèn pin、 bạn có thể chiếu sáng xung quanh、 giúp tránh các vật nguy hiểm và sơ tán một cách an toàn.,大地震发生时、家具和家电可能会倒塌、玻璃破裂散落在地面。如果地震发生在夜间、房间一片漆黑、避难变得更加困难。这时候、手电筒可以照亮周围环境、帮助避开危险物品进行避难。
16,mochi,情報収集したり家族の安否を確認したりするためには、スマホは必需品です。しかし、災害時に停電が起こるとスマホの充電ができなくなります。そのために、モバイルバッテリーがあると停電中でも心の余裕を持つことができます。,Smartphones are essential items for collecting information and checking the safety of family members. but if a power outage occurs during a disaster、 you will not be able to charge your smartphone.  so with a mobile battery、 you can have peace of mind even during a power outage.,じょうほうをあつめたりかぞくのあんぜんをかくにんしたりするためには、スマホはひつようなものです。しかし、さいがいのときにていでんがおこるとスマホのじゅうでんができなくなります。そのために、モバイルバッテリーがあるとていでんちゅうでもこころのよゆうをもつことができます。,Điện thoại thông minh là vật dụng cần thiết để thu thập thông tin và kiểm tra tình trạng an toàn của gia đình. Tuy nhiên、 khi xảy ra mất điện trong thảm họa、 bạn sẽ không thể sạc điện thoại. Do đó、 nếu có pin sạc dự phòng、 bạn có thể giữ được sự yên tâm ngay cả khi bị mất điện.,了解信息、确认家人安全、手机是必需品。但是、灾害发生时可能会停电、无法为手机充电。因此、准备移动电源可以在停电期间保持通讯畅通、减少焦虑感。
17,mochi,ライトやラジオも電池がないと使うことができません。予備があれば電池の減りなど気にせず使えることができ、安心します。乾電池は液漏れ防止のものを選びましょう。,Lights and radios cannot be used without batteries. If you have a spare、 you can use it without worrying about the battery running out、 so you can rest assured. Choose batteries that do not leak.,ライトやラジオもでんちがないとつかうことができません。よびがあればでんちのへりなどきにせずつかえることができ、あんしんします。,Đèn pin hay radio cũng không thể sử dụng nếu không có pin. Nếu có pin dự phòng、 bạn có thể sử dụng mà không lo lắng về việc hết pin、 giúp bạn an tâm hơn. Hãy chọn loại pin khô có khả năng chống rò rỉ.,灯光和收音机如果没有电池就无法使用。准备备用电池可以确保设备持续运行、不必担心电量耗尽。选择防漏电的干电池以防止液体泄漏。
18,mochi,停電時や災害の際、テレビが見れなくなったり、ネットが繋がらなかったり、情報を得たとしてもそれがデマ情報だった場合もあります。スマホと違って消費電力が少なく、被災した地域をメインに情報を伝えることができます。,In the event of a power outage or disaster、 you may not be able to watch TV or connect to the Internet、 or even if you get information、 it may be false information. Unlike smartphones、 it consumes less power and can mainly receive information about the affected areas.,ていでんのときやさいがいのとき、テレビがみれなくなったり、ネットがつながらなかったり、じょうほうをえたとしてもそれがまちがったじょうほうだったばあいもあります。スマホとちがってつかうでんりょくがすくなく、さいがいのおこったちいきをめいんにじょうほうをつたえることができます。,Khi mất điện hoặc xảy ra thảm họa、 bạn có thể không xem được TV hoặc không kết nối được Internet、 và ngay cả khi có thông tin、 đôi khi đó có thể là tin giả. Khác với điện thoại thông minh、 radio tiêu thụ ít điện năng hơn và có thể cung cấp thông tin chủ yếu cho các khu vực bị ảnh hưởng bởi thảm họa.,停电或灾害发生时、可能无法观看电视或上网、即使获取到信息、也可能是虚假信息。相比手机、收音机耗电量更少、并且能够专注于向受灾地区传达准确的信息。
19,mochi,・現金（硬貨）,cash (coin),おかね,・Tiền mặt (tiền xu),现金（硬币）
20,mochi,・通帳,passbook,つうちょう,・Sổ tiết kiệm,存折
21,mochi,・身分証明書・各種カード,Identification、 various cards,みぶんしょうめいしょ・かくしゅかーど,・Giấy tờ tùy thân và các loại thẻ,身份证・各类卡片
22,mochi,・印鑑,signature stamp,いんかん,・Con dấu,印章
23,mochi,・家や車の予備鍵,spare house or car key,いえのかぎ,・Chìa khóa dự phòng cho nhà và xe,备用钥匙（房屋、汽车）
24,mochi,停電時にはキャッシュカードが使えない可能性があるので、現金を用意しておきましょう。小銭を多めにしておくと、固定電話やスマホを使えないときに公衆電話を使うときなどに便利です。また、免許証や保険証といった身分証明書があると、被災後のさまざまな届出をする際にスムーズにことが運びます。,Cash cards may not work during power outages、 so be prepared with cash.It is convenient to have enough coins in order to use public phone when you cannot use a landline phone or a smartphone.also if you have an identification card such as a driver's license or insurance card、 things will go smoothly when making various notifications after a disaster.,,Khi mất điện、 thẻ tín dụng có thể không sử dụng được、 vì vậy bạn nên chuẩn bị tiền mặt. Nếu bạn chuẩn bị nhiều tiền xu、 sẽ rất tiện lợi khi cần sử dụng điện thoại công cộng khi không thể dùng điện thoại cố định hoặc smartphone. Ngoài ra、 nếu có giấy tờ tùy thân như bằng lái xe hoặc thẻ bảo hiểm、 bạn sẽ dễ dàng thực hiện các thủ tục đăng ký sau thảm họa.,停电时、银行卡可能无法使用、因此需要准备现金。多准备一些硬币、在固定电话或手机无法使用时、可以用来拨打公用电话。此外、身份证、驾驶证、保险证等证件有助于灾后办理各类手续。
25,mochi,雨の時に、災害がおこると服が濡れてしまい風邪をひくかもしれません。コンパクトにまとまるダウンジャケット、ダウンパンツなど暖かく軽量のものがおすすめです。できる限り替えの服もいれておくといいです。,When it rains、 if a disaster happens、 your clothes will get wet and you may catch a cold.Warm and lightweight items such as down jackets and down pants that can be put together compactly are recommended. It's good to bring a change of clothes as much as possible.,あめのときに、さいがいがおこるとふくがぬれてしまいかぜをひくかもしれません。ちいさくまとまるダウンジャケット、ダウンパンツなどあたたかくかるいものがおすすめです。できるかぎりかえのふくもいれておくといいです。,Khi mưa、 nếu xảy ra thảm họa、 quần áo của bạn có thể bị ướt và bạn có thể bị cảm lạnh. Những món đồ ấm áp và nhẹ như áo khoác lông vũ gọn nhẹ hoặc quần lông vũ là lựa chọn tuyệt vời. Bạn cũng nên chuẩn bị thêm quần áo thay thế nếu có thể.,灾害发生时如果下雨、衣物可能会被淋湿、容易感冒。建议准备轻便保暖的羽绒服、羽绒裤等、并尽量多带一套换洗衣物。
26,mochi,・缶詰・乾パン,canned food、 dried bread,・かんづめ・かんぱん,・Thực phẩm đóng hộp và bánh mì khô,罐头食品・压缩饼干
27,mochi,・飲料水,drinking water,・のみみず,・Nước uống,饮用水
28,mochi,・アルファ米,alpha rice,・おこめ,・Gạo alpha (gạo chế biến sẵn),速食米
29,mochi,・チョコレート,chocolate,・チョコレート,・Socola,巧克力
