@code,コードが示す地域等,@name,areacode
0110000,北海道札幌市,札幌市,307
0120200,北海道函館市,函館市,308
0120300,北海道小樽市,小樽市,307
0120400,北海道旭川市,旭川市,302
0120500,北海道室蘭市,室蘭市,306
0120601,気象庁予報警報規程別表第四の二に示す「釧路市釧路」の区域,釧路市釧路,302
0120602,気象庁予報警報規程別表第四の二に示す「釧路市阿寒」の区域,釧路市阿寒,302
0120603,気象庁予報警報規程別表第四の二に示す「釧路市音別」の区域,釧路市音別,302
0120700,北海道帯広市,帯広市,304
0120801,気象庁予報警報規程別表第四の二に示す「北見市北見」の区域,北見市北見,303
0120802,気象庁予報警報規程別表第四の二に示す「北見市常呂」の区域,北見市常呂,303
0120900,北海道夕張市,夕張市,307
0121000,北海道岩見沢市,岩見沢市,307
0121100,北海道網走市,網走市,303
0121200,北海道留萌市,留萌市,302
0121300,北海道苫小牧市,苫小牧市,306
0121400,北海道稚内市,稚内市,301
0121500,北海道美唄市,美唄市,307
0121600,北海道芦別市,芦別市,307
0121700,北海道江別市,江別市,307
0121800,北海道赤平市,赤平市,307
0121900,北海道紋別市,紋別市,303
0122000,北海道士別市,士別市,302
0122100,北海道名寄市,名寄市,302
0122200,北海道三笠市,三笠市,307
0122300,北海道根室市,根室市,305
0122400,北海道千歳市,千歳市,307
0122500,北海道滝川市,滝川市,307
0122600,北海道砂川市,砂川市,307
0122700,北海道歌志内市,歌志内市,307
0122800,北海道深川市,深川市,307
0122900,北海道富良野市,富良野市,302
0123000,北海道登別市,登別市,306
0123100,北海道恵庭市,恵庭市,307
0123301,気象庁予報警報規程別表第四の二に示す「伊達市伊達」の区域,伊達市伊達,306
0123302,気象庁予報警報規程別表第四の二に示す「伊達市大滝」の区域,伊達市大滝,306
0123400,北海道北広島市,北広島市,307
0123500,北海道石狩市,石狩市,307
0123600,北海道北斗市,北斗市,308
0130300,北海道当別町,当別町,307
0130400,北海道新篠津村,新篠津村,307
0133100,北海道松前町,松前町,308
0133200,北海道福島町,福島町,308
0133300,北海道知内町,知内町,308
0133400,北海道木古内町,木古内町,308
0133700,北海道七飯町,七飯町,308
0134300,北海道鹿部町,鹿部町,308
0134500,北海道森町,森町,308
0134601,気象庁予報警報規程別表第四の二に示す「八雲町八雲」の区域,八雲町八雲,308
0134602,気象庁予報警報規程別表第四の二に示す「八雲町熊石」の区域,八雲町熊石,308
0134700,北海道長万部町,長万部町,308
0136100,北海道江差町,江差町,308
0136200,北海道上ノ国町,上ノ国町,308
0136300,北海道厚沢部町,厚沢部町,308
0136400,北海道乙部町,乙部町,308
0136700,北海道奥尻町,奥尻町,308
0137000,北海道今金町,今金町,308
0137100,北海道せたな町,せたな町,308
0139100,北海道島牧村,島牧村,307
0139200,北海道寿都町,寿都町,307
0139300,北海道黒松内町,黒松内町,307
0139400,北海道蘭越町,蘭越町,307
0139500,北海道ニセコ町,ニセコ町,307
0139600,北海道真狩村,真狩村,307
0139700,北海道留寿都村,留寿都村,307
0139800,北海道喜茂別町,喜茂別町,307
0139900,北海道京極町,京極町,307
0140000,北海道倶知安町,倶知安町,307
0140100,北海道共和町,共和町,307
0140200,北海道岩内町,岩内町,307
0140300,北海道泊村,泊村,307
0140400,北海道神恵内村,神恵内村,307
0140500,北海道積丹町,積丹町,307
0140600,北海道古平町,古平町,307
0140700,北海道仁木町,仁木町,307
0140800,北海道余市町,余市町,307
0140900,北海道赤井川村,赤井川村,307
0142300,北海道南幌町,南幌町,307
0142400,北海道奈井江町,奈井江町,307
0142500,北海道上砂川町,上砂川町,307
0142700,北海道由仁町,由仁町,307
0142800,北海道長沼町,長沼町,307
0142900,北海道栗山町,栗山町,307
0143000,北海道月形町,月形町,307
0143100,北海道浦臼町,浦臼町,307
0143200,北海道新十津川町,新十津川町,307
0143300,北海道妹背牛町,妹背牛町,307
0143400,北海道秩父別町,秩父別町,307
0143600,北海道雨竜町,雨竜町,307
0143700,北海道北竜町,北竜町,307
0143800,北海道沼田町,沼田町,307
0145200,北海道鷹栖町,鷹栖町,302
0145300,北海道東神楽町,東神楽町,302
0145400,北海道当麻町,当麻町,302
0145500,北海道比布町,比布町,302
0145600,北海道愛別町,愛別町,302
0145700,北海道上川町,上川町,302
0145800,北海道東川町,東川町,302
0145900,北海道美瑛町,美瑛町,302
0146000,北海道上富良野町,上富良野町,302
0146100,北海道中富良野町,中富良野町,302
0146200,北海道南富良野町,南富良野町,302
0146300,北海道占冠村,占冠村,302
0146400,北海道和寒町,和寒町,302
0146500,北海道剣淵町,剣淵町,302
0146800,北海道下川町,下川町,302
0146900,北海道美深町,美深町,302
0147000,北海道音威子府村,音威子府村,302
0147100,北海道中川町,中川町,302
0147200,北海道幌加内町,幌加内町,302
0148100,北海道増毛町,増毛町,302
0148200,北海道小平町,小平町,302
0148300,北海道苫前町,苫前町,302
0148401,気象庁予報警報規程別表第四の二に示す「羽幌町」の区域,羽幌町,302
0148402,気象庁予報警報規程別表第四の二に示す「天売焼尻」の区域,天売焼尻,302
0148500,北海道初山別村,初山別村,302
0148600,北海道遠別町,遠別町,302
0148700,北海道天塩町,天塩町,302
0151100,北海道猿払村,猿払村,301
0151200,北海道浜頓別町,浜頓別町,301
0151300,北海道中頓別町,中頓別町,301
0151400,北海道枝幸町,枝幸町,301
0151600,北海道豊富町,豊富町,301
0151700,北海道礼文町,礼文町,301
0151800,北海道利尻町,利尻町,301
0151900,北海道利尻富士町,利尻富士町,301
0152000,北海道幌延町,幌延町,301
0154300,北海道美幌町,美幌町,303
0154400,北海道津別町,津別町,303
0154500,北海道斜里町,斜里町,303
0154600,北海道清里町,清里町,303
0154700,北海道小清水町,小清水町,303
