@code,コードが示す地域等,@name,eng,areacode,vi,cha,areaCode2
110000,北海道札幌市,札幌市,Sapporo City,307,thành phố Sapporo,札幌市,016010
120200,北海道函館市,函館市,Hakodate City,308,thành phố Hakodate,函馆市,017010
120300,北海道小樽市,小樽市,Otaru City,307,thành phố Otaru,小樽市,016030
120400,北海道旭川市,旭川市,Asahikawa City,302,thành phố Asahikawa,旭川市,012010
120500,北海道室蘭市,室蘭市,Muroran City,306,thành phố Muroran,室兰市,015010
120601,気象庁予報警報規程別表第四の二に示す「釧路市釧路」の区域,釧路市釧路,"Kushiro, Kushiro City ",302,"Kushiro, thành phố Kushiro",钏路市钏路,014020
120602,気象庁予報警報規程別表第四の二に示す「釧路市阿寒」の区域,釧路市阿寒,"Akan, Kushiro City",302,"Akan, thành phố Kushiro",钏路市阿寒,014020
120603,気象庁予報警報規程別表第四の二に示す「釧路市音別」の区域,釧路市音別,"Onbetsu, Kushiro City",302,"Onbetsu, thành phố Kushiro",钏路市音別,014020
120700,北海道帯広市,帯広市,Obihiro City,304,thành phố Obihiro,带广市,014030
120801,気象庁予報警報規程別表第四の二に示す「北見市北見」の区域,北見市北見,"Kitami,  Kitami City",303,"Kitami, thành phố Kitami",北见市北见,013020
120802,気象庁予報警報規程別表第四の二に示す「北見市常呂」の区域,北見市常呂,"Tokoro,  Kitami City",303,"Tokoro, thành phố Kitami",北见市常吕,013010
120900,北海道夕張市,夕張市,Yubari City,307,thành phố Yubari,夕张市,016020
121000,北海道岩見沢市,岩見沢市,Iwamizawa City,307,thành phố Iwamizawa,岩见泽市,016020
121100,北海道網走市,網走市,Abashiri City,303,thành phố Abashiri,网走市,013010
121200,北海道留萌市,留萌市,Rumoi City,302,thành phố Rumoi,留萌市,012020
121300,北海道苫小牧市,苫小牧市,Tomakomai City,306,thành phố Tomakomai,苫小牧市,015010
121400,北海道稚内市,稚内市,Wakkanai City,301,thành phố Wakkanai,稚内市,011000
121500,北海道美唄市,美唄市,Bibai City,307,thành phố Bibai,美呗市,016020
121600,北海道芦別市,芦別市,Ashibetsu City,307,thành phố Ashibetsu,芦别市,016020
121700,北海道江別市,江別市,Ebetsu City,307,thành phố Ebetsu,江别市,016010
121800,北海道赤平市,赤平市,Akabira City,307,thành phố Akabira,赤平市,016020
121900,北海道紋別市,紋別市,Mombetsu City,303,thành phố Mombetsu,纹别市,013030
122000,北海道士別市,士別市,Shibetsu City,302,thành phố Shibetsu,士别市,012010
122100,北海道名寄市,名寄市,Nayoro City,302,thành phố Nayoro,名寄市,012010
122200,北海道三笠市,三笠市,Mikasa City,307,thành phố Mikasa,三笠市,016020
122300,北海道根室市,根室市,Nemuro City,305,thành phố Nemuro,根室市,014010
122400,北海道千歳市,千歳市,Chitose City,307,thành phố Chitose,千岁市,016010
122500,北海道滝川市,滝川市,Takikawa City,307,thành phố Takikawa,泷川市,016020
122600,北海道砂川市,砂川市,Sunagawa City,307,thành phố Sunagawa,砂川市,016020
122700,北海道歌志内市,歌志内市,Utashinai City,307,thành phố Utashinai,歌志内市,016020
122800,北海道深川市,深川市,Fukagawa City,307,thành phố Fukagawa,深川市,016020
122900,北海道富良野市,富良野市,Furano City,302,thành phố Furano,富良野市,012010
